/* DATA DESCRIPTION:
Citation:	Nehrbass-Ahles, Christoph; Shin, Jinhwa; Schmitt, Jochen; Bereiter, Bernhard; Joos, Fortunat; Schilt, Adrian; Schmidely, Loïc; Silva, Lucas; Teste, Grégory; Grilli, Roberto; Chappellaz, Jérôme A; Hodell, David A; Fischer, Hubertus; Stocker, Thomas F (2020): Compilation of CH4 records derived from the EPICA Dome C ice core covering MIS 9e - 12a. Universität Bern, PANGAEA, https://doi.org/10.1594/PANGAEA.914908, 
	In: Nehrbass-Ahles, Christoph; Shin, Jinhwa; Schmitt, Jochen; Bereiter, Bernhard; Joos, Fortunat; Schilt, Adrian; Schmidely, Loïc; Silva, Lucas; Teste, Grégory; Grilli, Roberto; Chappellaz, Jérôme A; Hodell, David A; Fischer, Hubertus; Stocker, Thomas (2020): High-resolution atmospheric CO2 and CH4 records derived from the EPICA Dome C ice core and stable isotope records from marine sediment core IODP Site U1385 covering MIS 9e - 12a. PANGAEA, https://doi.org/10.1594/PANGAEA.915146
Abstract:	Compilation of improved CH4 data derived from the European Project for Ice Coring in Antarctica (EPICA) Dome C ice core covering Marine Isotope Stage (MIS) 9e - 12a. For this compilation, vertically contiguous (i.e. directly neighbouring) replicate measurements of the source CH4 dataset Nehrbass-Ahles et al. (2020) (https://doi.org/10.1594/PANGAEA.914907) have been averaged and are reported as single data points.
Keyword(s):	CH4; Greenhouse gases; Ice core; MIS 10; MIS 11; MIS 9
Supplement to:	Nehrbass-Ahles, Christoph; Shin, Jinhwa; Schmitt, Jochen; Bereiter, Bernhard; Joos, Fortunat; Schilt, Adrian; Schmidely, Loïc; Silva, Lucas; Teste, Grégory; Grilli, Roberto; Chappellaz, Jérôme A; Hodell, David A; Fischer, Hubertus; Stocker, Thomas F (2020): Abrupt CO2 release to the atmosphere under glacial and early interglacial climate conditions. Science, 369, 1000-1005, https://doi.org/10.1126/science.aay8178
Source:	Nehrbass-Ahles, Christoph; Shin, Jinhwa; Schmitt, Jochen; Bereiter, Bernhard; Joos, Fortunat; Schilt, Adrian; Schmidely, Loïc; Silva, Lucas; Teste, Grégory; Grilli, Roberto; Chappellaz, Jérôme A; Hodell, David A; Fischer, Hubertus; Stocker, Thomas F (2020): Improved high-resolution atmospheric CH4 record derived from the EPICA Dome C ice core covering MIS 9e - 12a. Universität Bern, PANGAEA, https://doi.org/10.1594/PANGAEA.914907
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 2479.40 m * MAXIMUM DEPTH, ice/snow: 2801.09 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Nehrbass-Ahles, Christoph (https://orcid.org/0000-0002-4009-4633, cn425@cam.ac.uk) * COMMENT: average depth
	AGE [ka BP] (Age) * GEOCODE * PI: Nehrbass-Ahles, Christoph (https://orcid.org/0000-0002-4009-4633, cn425@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology, 120–800 ka (AICC2012 120-800 ka) (URI: https://doi.org/10.5194/cp-9-1715-2013)
	Methane [ppbv] (CH4) * PI: Nehrbass-Ahles, Christoph (https://orcid.org/0000-0002-4009-4633, cn425@cam.ac.uk)
	Methane [ppbv] (CH4) * PI: Nehrbass-Ahles, Christoph (https://orcid.org/0000-0002-4009-4633, cn425@cam.ac.uk) * COMMENT: corrected for gravitational settling
	Uncertainty [±] (Uncertainty) * PI: Nehrbass-Ahles, Christoph (https://orcid.org/0000-0002-4009-4633, cn425@cam.ac.uk)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1254 data points
*/
Depth ice/snow [m] (average depth)	Age [ka BP]	CH4 [ppbv]	CH4 [ppbv] (corrected for gravitational s...)	Uncertainty [±]
2479.40	300.136	520	523	10
2481.03	300.747	459	462	10
2481.60	300.981	487	490	10
2483.23	301.756	453	456	10
2483.80	301.960	453	456	10
2485.43	302.522	456	459	10
2486.00	302.709	462	465	10
2487.63	303.242	466	469	10
2488.20	303.428	477	480	10
2489.83	303.977	491	493	10
2490.40	304.172	490	493	10
2492.03	304.711	498	501	10
2492.60	304.886	505	508	10
2494.23	305.450	451	454	10
2494.80	305.659	449	451	10
2496.43	306.362	459	462	10
2497.00	306.660	485	488	10
2498.58	307.426	459	461	10
2499.20	307.668	466	468	10
2500.83	308.312	478	481	10
2501.40	308.539	509	512	10
2503.03	309.295	467	469	10
2503.60	309.568	460	463	10
2505.23	310.335	461	463	10
2505.80	310.591	493	495	10
2507.43	311.279	470	472	10
2508.00	311.511	517	520	10
2509.63	312.176	515	517	10
2510.20	312.435	516	519	10
2511.83	313.172	522	525	10
2512.40	313.425	540	544	10
2514.03	314.118	548	551	10
2514.60	314.356	568	572	10
2516.23	315.028	553	556	10
2516.80	315.253	634	638	10
2518.43	315.881	618	622	10
2519.00	316.090	606	610	10
2520.63	316.659	598	601	10
2521.20	316.853	635	639	10
2522.83	317.395	607	611	10
2523.40	317.595	515	518	10
2525.03	318.173	465	467	10
2525.60	318.380	459	461	10
2527.23	318.989	445	447	10
2527.80	319.205	480	483	10
2529.43	319.953	481	484	10
2530.00	320.217	479	482	10
2531.63	320.953	478	480	10
2532.20	321.196	480	483	10
2533.83	321.820	498	501	10
2534.40	322.026	503	506	10
2536.03	322.582	521	524	10
2536.60	322.768	529	532	10
2538.23	323.294	519	522	10
2538.80	323.476	528	532	10
2540.43	323.983	519	522	10
2541.00	324.158	533	536	10
2542.63	324.646	544	548	10
2543.20	324.809	557	560	10
2544.83	325.272	593	596	10
2545.40	325.434	568	572	10
2546.98	325.889	580	584	10
2547.60	326.069	590	593	10
2549.23	326.548	612	616	10
2549.80	326.708	617	621	10
2551.43	327.152	626	630	10
2552.00	327.298	644	649	10
2553.63	327.716	633	637	10
2554.20	327.862	635	639	10
2555.81	328.308	611	615	10
2556.40	328.474	634	638	10
2558.03	328.929	644	648	10
2558.60	329.085	654	658	10
2560.23	329.520	642	646	10
2560.80	329.670	662	666	10
2562.43	330.109	657	662	10
2565.20	330.851	669	673	10
2566.83	331.293	636	640	10
2567.40	331.445	658	662	10
2569.03	331.783	643	647	10
2569.60	331.894	663	668	10
2571.23	332.228	621	625	10
2571.80	332.356	637	641	10
2573.43	332.791	615	619	10
2574.00	332.955	637	641	10
2575.58	333.411	636	641	10
2576.20	333.563	649	654	10
2577.78	333.927	673	677	10
2578.93	334.168	721	726	10
2579.50	334.275	726	731	10
2581.08	334.574	738	743	10
2581.70	334.693	776	782	10
2582.96	334.928	793	798	10
2583.28	334.987	798	804	10
2583.69	335.062	812	818	10
2583.90	335.100	797	803	10
2584.53	335.215	771	777	10
2584.94	335.290	740	745	10
2585.15	335.328	682	687	10
2585.48	335.388	599	603	10
2586.02	335.490	590	594	10
2586.61	335.601	590	594	10
2587.17	335.707	634	639	10
2587.68	335.803	604	608	10
2588.30	335.918	607	612	10
2589.59	336.166	628	632	10
2589.88	336.223	631	635	10
2590.50	336.345	652	657	10
2591.08	336.469	608	612	10
2591.57	336.574	599	604	10
2592.08	336.683	581	585	10
2592.70	336.825	597	601	10
2593.62	337.037	589	593	10
2594.29	337.213	570	573	10
2594.90	337.380	566	570	10
2596.48	337.851	537	541	10
2597.10	338.043	531	534	10
2598.70	338.597	496	499	10
2599.30	338.821	504	507	10
2600.93	339.450	486	489	10
2601.50	339.682	486	489	10
2603.13	340.392	453	455	10
2604.19	340.890	445	448	7
2605.33	341.457	465	467	10
2605.90	341.768	460	462	10
2607.53	342.713	449	452	10
2608.10	343.082	439	441	10
2609.73	344.170	395	397	10
2610.30	344.557	394	396	10
2611.93	345.587	370	372	10
2613.00	346.191	366	368	10
2614.13	346.813	375	377	10
2614.70	347.119	368	370	10
2616.30	347.944	374	376	10
2616.90	348.247	389	391	10
2618.53	349.098	391	393	10
2619.63	349.665	417	419	10
2620.73	350.225	403	405	10
2621.26	350.491	416	419	7
2621.77	350.747	454	456	10
2622.54	351.131	496	498	10
2622.93	351.326	459	462	10
2623.50	351.610	407	409	10
2624.57	352.163	440	443	10
2625.13	352.453	392	394	10
2625.70	352.764	402	405	10
2627.33	353.651	414	416	10
2627.90	353.958	403	406	10
2629.50	354.758	402	404	7
2630.61	355.287	405	407	10
2631.73	355.810	395	397	10
2632.83	356.389	406	408	10
2633.93	357.018	403	405	10
2634.99	357.677	410	412	6
2636.13	358.393	420	423	10
2637.22	359.088	435	437	10
2637.95	359.560	403	405	10
2638.31	359.792	416	418	7
2638.98	360.212	417	419	10
2639.43	360.493	417	419	10
2640.15	360.941	434	436	10
2640.49	361.151	412	414	7
2641.61	361.830	447	450	7
2642.73	362.510	415	417	10
2643.81	363.151	418	420	7
